,weatheryear,weathermonth,weatherday,avg(SDWclean),avg(SDclean),avg(SAclean),avg(Spdclean),avg(Visb),avg(Temp)
0,2011,01,01,1.0,4.212121212121212,1.0,3.033333243745746,11212.757575757576,3.2939393939393926
1,2011,01,02,1.0,1.3478260869565217,1.0,2.3478260247603706,6513.04347826087,5.71086956521739
2,2011,01,03,1.0,0.09375,1.0,8.296874985098839,16069.75,1.11875
3,2011,01,04,1.0,0.0,1.0,4.243749886751175,16069.75,0.546875
4,2011,01,05,1.0,0.0,1.0,5.234374865889549,16069.75,1.6624999999999999
5,2011,01,06,1.0,0.0,1.0,2.2874999344348907,16069.75,-1.2906250000000001
6,2011,01,07,1.0,0.0,1.0,3.577550917255635,9127.612244897959,-0.2653061224489795
7,2011,01,08,1.0,0.0,1.0,3.039999920981271,14600.4,-2.419999999999999
8,2011,01,09,1.0,0.0,1.0,8.731428582327707,15280.257142857143,-1.6885714285714282
9,2011,01,10,1.0,0.0,1.0,8.084375023841858,16069.75,-1.4749999999999994
10,2011,01,11,1.0,0.0,1.0,3.865624889731407,16069.75,-2.2249999999999988
11,2011,01,12,1.0,1.9782608695652173,1.0,7.280434712119725,8306.934782608696,-2.284782608695651
12,2011,01,13,1.0,3.15625,1.0,8.340624958276749,15906.6875,-3.2312499999999997
13,2011,01,14,1.0,0.0,1.0,4.353124901652336,16069.75,-5.784374999999998
14,2011,01,15,1.0,0.0,1.0,4.987499967217445,16069.75,-2.371875
15,2011,01,16,1.0,0.0,1.0,5.699999898672104,16019.46875,0.7812500000000001
16,2011,01,17,1.0,0.0,1.0,4.028124898672104,16069.75,-3.949999999999999
17,2011,01,18,1.0,0.0,1.0,5.667924386150432,6597.547169811321,0.6415094339622642
18,2011,01,19,1.0,0.0,1.0,4.341463298332401,12634.707317073171,3.1512195121951225
19,2011,01,20,1.0,0.0,1.0,5.2484846982088955,16070.454545454546,1.3909090909090915
20,2011,01,21,1.0,1.170731707317073,1.0,5.470731665448445,10642.707317073171,-1.0853658536585367
21,2011,01,22,1.0,2.0,1.0,5.418749928474426,16069.75,-6.887500000000001
22,2011,01,23,1.0,2.0,1.0,5.2468749433755875,16069.75,-6.693749999999999
23,2011,01,24,1.0,1.71875,1.0,4.481249898672104,16069.75,-10.406249999999998
24,2011,01,25,1.0,0.8536585365853658,1.0,2.943902352961098,13084.585365853658,-1.9634146341463414
25,2011,01,26,1.0,1.2549019607843137,1.0,4.817647008334889,6417.470588235294,-0.6019607843137256
26,2011,01,27,1.0,4.813953488372093,1.0,8.183720877004225,9065.837209302326,0.35348837209302325
27,2011,01,28,1.0,5.8108108108108105,1.0,2.3081080462481522,13002.513513513513,-1.308108108108108
28,2011,01,29,1.0,4.829268292682927,1.0,3.353658443543969,11894.536585365853,-0.5560975609756095
29,2011,01,30,1.0,5.875,1.0,3.359374910593033,14199.75,-0.006249999999999874
30,2011,01,31,1.0,5.46875,1.0,4.253124892711639,16069.75,-2.6718749999999996
31,2011,02,01,1.0,3.074074074074074,1.0,4.5351850633268,7144.925925925926,-1.8574074074074072
32,2011,02,02,1.0,2.8518518518518516,1.0,4.199999888737996,5512.388888888889,0.3481481481481481
33,2011,02,03,1.0,4.21875,1.0,7.971874967217445,15944.75,-0.5249999999999999
34,2011,02,04,1.0,3.75,1.0,5.159374862909317,16069.75,-2.703125
35,2011,02,05,1.0,2.4081632653061225,1.0,2.7877550319749482,7403.938775510204,1.1122448979591837
36,2011,02,06,1.0,2.8055555555555554,1.0,8.447222153345743,14286.833333333334,4.297222222222222
37,2011,02,07,1.0,2.3125,1.0,2.715624913573265,15479.96875,2.0749999999999997
38,2011,02,08,1.0,0.8913043478260869,1.0,6.286956486494645,10786.065217391304,2.526086956521739
39,2011,02,09,1.0,0.75,1.0,8.190624922513962,16069.75,-5.459374999999998
40,2011,02,10,1.0,0.75,1.0,6.246874839067459,16069.75,-2.28125
41,2011,02,11,1.0,0.46875,1.0,5.456249862909317,16069.75,-2.8031250000000005
42,2011,02,12,1.0,0.0,1.0,5.221874922513962,16069.75,0.384375
43,2011,02,13,1.0,0.0,1.0,6.809374958276749,16069.75,1.1749999999999998
44,2011,02,14,1.0,0.0,1.0,7.137499898672104,16069.75,7.187500000000001
45,2011,02,15,1.0,0.0,1.0,10.596874922513962,16069.75,1.8281249999999996
46,2011,02,16,1.0,0.0,1.0,3.6312499046325684,16069.75,0.1312500000000006
47,2011,02,17,1.0,0.0,1.0,3.121874913573265,16069.75,6.968749999999997
48,2011,02,18,1.0,0.0,1.0,3.3656249195337296,15398.4375,9.559374999999998
49,2011,02,19,1.0,0.0,1.0,11.82352931359235,15881.79411764706,7.8823529411764675
50,2011,02,20,1.0,0.0,1.0,10.3624999076128,16069.75,-1.6906250000000003
51,2011,02,21,1.0,0.5555555555555556,1.0,4.486666573418511,10411.666666666666,0.3244444444444441
52,2011,02,22,1.0,1.1875,1.0,7.296874895691872,16069.75,-3.8875000000000006
53,2011,02,23,1.0,0.46875,1.0,4.906249865889549,16069.75,-0.7781250000000003
54,2011,02,24,1.0,0.0,1.0,3.0562499463558197,16069.75,0.675
55,2011,02,25,1.0,0.0,1.0,7.874418491540953,6677.395348837209,6.500000000000001
56,2011,02,26,1.0,0.0,1.0,6.60606050491333,16070.454545454546,2.3575757575757574
57,2011,02,27,1.0,0.0,1.0,4.67647050408756,16071.117647058823,5.929411764705881
58,2011,02,28,1.0,0.0,1.0,6.680434693460879,11130.58695652174,7.295652173913043
59,2011,03,01,1.0,0.0,1.0,8.187878810998166,16070.454545454546,5.024242424242423
60,2011,03,02,1.0,0.0,1.0,7.196874901652336,16069.75,5.10625
61,2011,03,03,1.0,0.0,1.0,7.187499895691872,16069.75,-2.60625
